Tarih	Tıklamalar	Gösterimler	TO	Pozisyon
2026-07-02	0.0	0.0		
2026-07-03	0.0	2.0	0.0	7.0
2026-07-04	1.0	54.0	0.018500000000000003	16.6
2026-07-05	0.0	126.0	0.0	17.7
2026-07-06	3.0	126.0	0.023799999999999998	12.4
2026-07-07	2.0	107.0	0.0187	18.3
2026-07-08	5.0	113.0	0.044199999999999996	18.1
2026-07-09	6.0	193.0	0.0311	16.3
2026-07-10	6.0	373.0	0.0161	15.5
2026-07-11	12.0	459.0	0.026099999999999998	30.4
2026-07-12	4.0	470.0	0.0085	29.4
2026-07-13	9.0	444.0	0.0203	30.0
2026-07-14	11.0	396.0	0.0278	24.4
2026-07-15	9.0	369.0	0.024399999999999998	24.8
2026-07-16	11.0	415.0	0.0265	26.9
